"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","1","Проверка денежной операции","Оплата","","","","Карта2",""
"passed","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","2","Тесты","","","","","Параметризованный тест 3",""
"passed","Mon Jul 19 05:16:50 MSK 2021","Mon Jul 19 05:16:50 MSK 2021","374","Проверка имени кота","","","","","allure3",""
"passed","Mon Jul 19 07:38:17 MSK 2021","Mon Jul 19 07:38:17 MSK 2021","464","Удаление случайного кота","","","","","Поиск случайного ID",""
"passed","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","1","Проверка денежной операции","Оплата","","","","Карта1",""
"passed","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","2","Тесты","","","","","Параметризованный тест 2",""
"passed","Mon Jul 19 07:38:18 MSK 2021","Mon Jul 19 07:38:18 MSK 2021","220","Удаление случайного кота","","","","","Проверка того, что кот удален",""
"passed","Mon Jul 19 05:16:49 MSK 2021","Mon Jul 19 05:16:50 MSK 2021","384","Проверка имени кота","","","","","allure",""
"passed","Sun Jul 18 20:35:19 MSK 2021","Sun Jul 18 20:35:19 MSK 2021","366","Удаление случайного кота","","","","","Поиск ID",""
"passed","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","2","Проверка денежной операции","Перевод","","","","Карта2",""
"skipped","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","3","Тесты","","","","","Сломанный тест",""
"passed","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","1","Проверка денежной операции","Перевод","","","","Карта1",""
"passed","Mon Jul 19 07:38:17 MSK 2021","Mon Jul 19 07:38:17 MSK 2021","221","Удаление случайного кота","","","","","Поиск кота по ID",""
"skipped","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","1","Тесты","","","","","retries",""
"passed","Mon Jul 19 05:16:50 MSK 2021","Mon Jul 19 05:16:50 MSK 2021","308","Проверка имени кота","","","","","allure2",""
"passed","Sun Jul 18 09:32:48 MSK 2021","Sun Jul 18 09:32:48 MSK 2021","92","Тесты","","","","","Параметризованный тест 1",""
"passed","Mon Jul 19 07:38:17 MSK 2021","Mon Jul 19 07:38:18 MSK 2021","244","Удаление случайного кота","","","","","Удаление найденного кота",""
